reference,fabricant,puissance_ac_w,puissance_pv_max_w,tension_dc_max_v,tension_dc_nominale_v,mppt_min_v,mppt_max_v,courant_max_mppt_a,isc_max_mppt_a,nombre_mppt,strings_max_par_mppt,phase
INV-10K-TRI,Exemple,10000.0,15000.0,1000.0,0.0,180.0,850.0,26.0,32.0,2,2,tri
INV-20K-TRI,Exemple,20000.0,30000.0,1100.0,0.0,200.0,1000.0,30.0,40.0,3,2,tri
INV-3K-MONO,Exemple,3000.0,4500.0,600.0,0.0,80.0,550.0,16.0,20.0,2,1,mono
INV-5K-MONO,Exemple,5000.0,7500.0,600.0,0.0,120.0,550.0,16.0,20.0,2,1,mono
SYMO-GEN24-10.0,Fronius,10000.0,15000.0,1000.0,0.0,278.0,800.0,12.5,20.0,2,1,tri
SUN2000-10K-MAP0,Huawei FusionSolar,10000.0,18000.0,1100.0,600.0,160.0,1000.0,16.0,22.0,2,1,tri
SUN2000-10KTL-M1,Huawei FusionSolar,10000.0,15000.0,1100.0,0.0,140.0,980.0,13.5,19.5,2,1,tri
SUN2000-12K-MAP0,Huawei FusionSolar,12000.0,22000.0,1100.0,600.0,160.0,1000.0,16.0,22.0,2,1,tri
SUN2000-5K-MAP0,Huawei FusionSolar,5000.0,9000.0,1100.0,600.0,160.0,1000.0,16.0,22.0,2,1,tri
SUN2000-5KTL-M1,Huawei FusionSolar,5000.0,7500.0,1100.0,0.0,140.0,980.0,13.5,19.5,2,1,tri
SUN2000-6K-MAP0,Huawei FusionSolar,6000.0,11000.0,1100.0,600.0,160.0,1000.0,16.0,22.0,2,1,tri
SUN2000-8K-MAP0,Huawei FusionSolar,8000.0,14600.0,1100.0,600.0,160.0,1000.0,16.0,22.0,2,1,tri
SB5.0-1AV-41,SMA,5000.0,7500.0,600.0,0.0,175.0,500.0,15.0,20.0,2,2,mono
